SEANCE,CODE,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,CAPITAUX
2018-05-01,"655001                   ASSURANCES SALIM         32,5         33,5",,32.5,32.5,32.5,303,975.0
2018-05-01,300045                   ASTREE                     34           34,0.0,34.0,0.0,0.0,0,
2018-05-01,"758001                   BEST LEASE               1,89         1,89",0.0,1.89,0.0,0.0,0,
2018-05-01,"130055                   BTE (ADP)               17,21        16,81",,17.23,17.21,17.23,404427,69650.58
2018-05-01,"735001                   CIMENTS DE BIZERTE       2,49         2,49",,2.49,2.49,2.5,22356,5572.0
2018-05-01,"330090                   ELBENE INDUSTRIE         3,58         3,58",0.0,3.58,0.0,0.0,0,
2018-05-01,320075                   ICF                        29           29,2929.0,29.0,29.0,29.0,503,1450.0
2018-05-01,"672004                   MODERN LEASING           3,84         3,86",,3.75,3.75,3.84,5595,2100.48
2018-05-01,"250065                   PLAC. TSIE-SICAF        40,71        40,71",,40.71,40.71,40.71,51,203.55
2018-05-01,"667001                   SIPHAT                   5,11         5,11",0.0,5.26,0.0,0.0,0,
2018-05-01,"140070                   SPDIT - SICAF             8,1          8,1",0.0,8.1,0.0,0.0,0,
2018-05-01,"664001                   STEQ                     7,62         7,62",0.0,7.62,0.0,0.0,0,
2018-05-01,"410020                   TUNINVEST-SICAR          6,69          6,5",,6.69,6.69,6.69,3203,2140.8
2018-05-01,"240050                   UBCI                    24,81        24,81",0.0,24.81,0.0,0.0,0,
2018-05-01,"768001                   ASS MULTI ITTIHAD        7,43         7,64",,7.5,7.43,7.5,143121,10664.95
2018-05-01,"430030                   SITEX                    6,25         6,25",0.0,6.25,0.0,0.0,0,
