SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2022-01-24,905003,BANQUES           ,4009.29,3987.31,0.551,4009.29,3882.35
2022-01-24,905004,ASSURANCES        ,12253.41,12253.41,0.0,12468.03,12170.69
2022-01-24,905005,SERVICES FINANCIER,5900.89,5898.63,0.038,5900.89,5762.32
2022-01-24,905008,SERVICES AUX CONSO,2908.85,2839.82,2.431,2908.85,2737.32
2022-01-24,905009,DISTRIBUTION      ,4582.89,4474.12,2.431,4582.89,4312.63
2022-01-24,905013,BIENS CONSOMMATION,8800.57,8795.45,0.058,8945.21,8703.7
2022-01-24,905015,AGROALIMENT BOISSO,11410.19,11404.53,0.05,11548.42,11271.32
2022-01-24,905016,PROD MENAGER SOIN ,2409.59,2407.47,0.088,2484.43,2376.6
2022-01-24,905017,INDUSTRIES        ,1341.06,1328.27,0.963,1347.28,1300.39
2022-01-24,905018,BATIM MATE CONSTRU,577.57,577.33,0.042,591.49,559.83
2022-01-24,905020,MATERIAUX DE BASE ,3638.08,3586.2,1.447,3638.08,3451.52
2022-01-24,905028,TUNINDEX20        ,3069.42,3055.79,0.446,3073.41,3000.38
2022-01-25,905001,TUNINDEX          ,7090.46,7104.21,-0.194,7104.21,6960.3
2022-01-25,905002,STES FINANCIERES  ,4365.08,4378.42,-0.305,4378.43,4253.05
2022-01-25,905003,BANQUES           ,3994.06,4009.29,-0.38,4009.29,3882.35
2022-01-25,905004,ASSURANCES        ,12226.98,12253.41,-0.216,12468.03,12170.69
2022-01-25,905005,SERVICES FINANCIER,5946.61,5900.88,0.775,5946.61,5762.32
2022-01-25,905008,SERVICES AUX CONSO,2939.18,2908.85,1.043,2939.18,2737.32
2022-01-25,905009,DISTRIBUTION      ,4630.66,4582.88,1.043,4630.66,4312.63
2022-01-25,905013,BIENS CONSOMMATION,8793.94,8800.56,-0.075,8945.21,8703.7
2022-01-25,905015,AGROALIMENT BOISSO,11380.18,11410.19,-0.263,11548.42,11271.32
2022-01-25,905016,PROD MENAGER SOIN ,2423.57,2409.59,0.58,2484.43,2376.6
2022-01-25,905017,INDUSTRIES        ,1331.59,1341.06,-0.706,1347.28,1300.39
2022-01-25,905018,BATIM MATE CONSTRU,572.23,577.57,-0.925,591.49,559.83
2022-01-25,905020,MATERIAUX DE BASE ,3624.93,3638.07,-0.361,3638.08,3451.52
2022-01-25,905028,TUNINDEX20        ,3062.25,3069.42,-0.234,3073.41,3000.38
2022-01-26,905001,TUNINDEX          ,7114.76,7090.45,0.343,7114.76,6960.3
2022-01-26,905002,STES FINANCIERES  ,4376.15,4365.07,0.254,4378.43,4253.05
2022-01-26,905003,BANQUES           ,4006.66,3994.05,0.316,4009.29,3882.35
2022-01-26,905004,ASSURANCES        ,12212.98,12226.98,-0.115,12468.03,12170.69
2022-01-26,905005,SERVICES FINANCIER,5931.2,5946.6,-0.259,5946.61,5762.32
2022-01-26,905008,SERVICES AUX CONSO,2942.53,2939.17,0.114,2942.53,2737.32
2022-01-26,905009,DISTRIBUTION      ,4635.94,4630.65,0.114,4635.94,4312.63
2022-01-26,905013,BIENS CONSOMMATION,8879.46,8793.94,0.972,8945.21,8703.7
2022-01-26,905015,AGROALIMENT BOISSO,11555.47,11380.18,1.54,11555.47,11271.32
2022-01-26,905016,PROD MENAGER SOIN ,2402.78,2423.56,-0.857,2484.43,2376.6
2022-01-26,905017,INDUSTRIES        ,1323.52,1331.58,-0.605,1347.28,1300.39
2022-01-26,905018,BATIM MATE CONSTRU,571.09,572.23,-0.199,591.49,559.83
2022-01-26,905020,MATERIAUX DE BASE ,3612.38,3624.92,-0.346,3638.08,3451.52
2022-01-26,905028,TUNINDEX20        ,3072.76,3062.25,0.343,3073.41,3000.38
2022-01-27,905001,TUNINDEX          ,7119.77,7114.75,0.071,7119.77,6960.3
2022-01-27,905002,STES FINANCIERES  ,4370.4,4376.14,-0.131,4378.43,4253.05
2022-01-27,905003,BANQUES           ,4002.97,4006.66,-0.092,4009.29,3882.35
2022-01-27,905004,ASSURANCES        ,12093.95,12212.97,-0.975,12468.03,12093.95
2022-01-27,905005,SERVICES FINANCIER,5949.44,5931.2,0.308,5949.44,5762.32
2022-01-27,905008,SERVICES AUX CONSO,2961.99,2942.52,0.662,2961.99,2737.32
2022-01-27,905009,DISTRIBUTION      ,4666.61,4635.93,0.662,4666.61,4312.63
2022-01-27,905013,BIENS CONSOMMATION,8931.29,8879.45,0.584,8945.21,8703.7
2022-01-27,905015,AGROALIMENT BOISSO,11632.62,11555.47,0.668,11632.62,11271.32
2022-01-27,905016,PROD MENAGER SOIN ,2410.57,2402.78,0.324,2484.43,2376.6
2022-01-27,905017,INDUSTRIES        ,1318.85,1323.51,-0.352,1347.28,1300.39
2022-01-27,905018,BATIM MATE CONSTRU,566.4,571.08,-0.819,591.49,559.83
2022-01-27,905020,MATERIAUX DE BASE ,3580.57,3612.37,-0.88,3638.08,3451.52
2022-01-27,905028,TUNINDEX20        ,3076.36,3072.75,0.117,3076.36,3000.38
2022-01-28,905001,TUNINDEX          ,7102.07,7119.76,-0.248,7119.77,6960.3
2022-01-28,905002,STES FINANCIERES  ,4357.49,4370.4,-0.295,4378.43,4253.05
2022-01-28,905003,BANQUES           ,3986.04,4002.97,-0.423,4009.29,3882.35
2022-01-28,905004,ASSURANCES        ,12179.93,12093.95,0.711,12468.03,12093.95
2022-01-28,905005,SERVICES FINANCIER,5977.08,5949.43,0.465,5977.08,5762.32
2022-01-28,905008,SERVICES AUX CONSO,2928.68,2961.99,-1.125,2961.99,2737.32
2022-01-28,905009,DISTRIBUTION      ,4614.12,4666.6,-1.125,4666.61,4312.63
2022-01-28,905013,BIENS CONSOMMATION,8904.8,8931.28,-0.296,8945.21,8703.7
2022-01-28,905015,AGROALIMENT BOISSO,11578.87,11632.62,-0.462,11632.62,11271.32
2022-01-28,905016,PROD MENAGER SOIN ,2412.12,2410.56,0.065,2484.43,2376.6
2022-01-28,905017,INDUSTRIES        ,1320.65,1318.84,0.137,1347.28,1300.39
2022-01-28,905018,BATIM MATE CONSTRU,569.0,566.39,0.461,591.49,559.83
2022-01-28,905020,MATERIAUX DE BASE ,3597.7,3580.57,0.478,3638.08,3451.52
2022-01-28,905028,TUNINDEX20        ,3066.51,3076.36,-0.32,3076.36,3000.38
2022-01-31,905001,TUNINDEX          ,7092.84,7102.07,-0.13,7119.77,6960.3
2022-01-31,905002,STES FINANCIERES  ,4356.34,4357.49,-0.026,4378.43,4253.05
2022-01-31,905003,BANQUES           ,3983.33,3986.04,-0.068,4009.29,3882.35
2022-01-31,905004,ASSURANCES        ,12262.89,12179.93,0.681,12468.03,12093.95
2022-01-31,905005,SERVICES FINANCIER,5961.84,5977.08,-0.255,5977.08,5762.32
2022-01-31,905008,SERVICES AUX CONSO,2917.99,2928.68,-0.365,2961.99,2737.32
2022-01-31,905009,DISTRIBUTION      ,4597.28,4614.12,-0.365,4666.61,4312.63
2022-01-31,905013,BIENS CONSOMMATION,8867.51,8904.8,-0.419,8945.21,8703.7
2022-01-31,905015,AGROALIMENT BOISSO,11519.83,11578.87,-0.51,11632.62,11271.32
2022-01-31,905016,PROD MENAGER SOIN ,2404.61,2412.12,-0.311,2484.43,2376.6
