SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
13/01/2022   ;905013    ;BIENS CONSOMMATION;8886.200            ;8758.150            ;1.462               ;8886.200            ;8703.700            
13/01/2022   ;905015    ;AGROALIMENT BOISSO;11485.200           ;11342.330           ;1.260               ;11485.200           ;11271.320           
13/01/2022   ;905016    ;PROD MENAGER SOIN ;2459.690            ;2407.560            ;2.165               ;2459.690            ;2376.600            
13/01/2022   ;905017    ;INDUSTRIES        ;1309.460            ;1302.920            ;0.502               ;1317.980            ;1300.390            
13/01/2022   ;905018    ;BATIM MATE CONSTRU;564.440             ;563.720             ;0.128               ;570.010             ;559.830             
13/01/2022   ;905020    ;MATERIAUX DE BASE ;3513.650            ;3507.360            ;0.179               ;3535.110            ;3451.520            
13/01/2022   ;905028    ;TUNINDEX20        ;3060.660            ;3037.900            ;0.749               ;3060.660            ;3000.380            
14/01/2022   ;905001    ;TUNINDEX          ;7099.650            ;7075.510            ;0.341               ;7099.650            ;6960.300            
14/01/2022   ;905002    ;STES FINANCIERES  ;4362.830            ;4357.450            ;0.123               ;4362.830            ;4253.050            
14/01/2022   ;905003    ;BANQUES           ;3995.000            ;3990.210            ;0.120               ;3995.000            ;3882.350            
14/01/2022   ;905004    ;ASSURANCES        ;12320.000           ;12296.870           ;0.188               ;12468.030           ;12177.950           
14/01/2022   ;905005    ;SERVICES FINANCIER;5813.020            ;5807.370            ;0.097               ;5860.500            ;5762.320            
14/01/2022   ;905008    ;SERVICES AUX CONSO;2832.570            ;2815.110            ;0.620               ;2832.570            ;2737.320            
14/01/2022   ;905009    ;DISTRIBUTION      ;4462.700            ;4435.190            ;0.620               ;4462.700            ;4312.630            
14/01/2022   ;905013    ;BIENS CONSOMMATION;8945.210            ;8886.200            ;0.664               ;8945.210            ;8703.700            
14/01/2022   ;905015    ;AGROALIMENT BOISSO;11548.420           ;11485.190           ;0.551               ;11548.420           ;11271.320           
14/01/2022   ;905016    ;PROD MENAGER SOIN ;2484.430            ;2459.680            ;1.006               ;2484.430            ;2376.600            
14/01/2022   ;905017    ;INDUSTRIES        ;1321.370            ;1309.460            ;0.910               ;1321.370            ;1300.390            
14/01/2022   ;905018    ;BATIM MATE CONSTRU;566.760             ;564.430             ;0.413               ;570.010             ;559.830             
14/01/2022   ;905020    ;MATERIAUX DE BASE ;3505.270            ;3513.640            ;-0.238              ;3535.110            ;3451.520            
14/01/2022   ;905028    ;TUNINDEX20        ;3073.410            ;3060.650            ;0.417               ;3073.410            ;3000.380            
17/01/2022   ;905001    ;TUNINDEX          ;7085.860            ;7099.640            ;-0.194              ;7099.650            ;6960.300            
17/01/2022   ;905002    ;STES FINANCIERES  ;4364.020            ;4362.820            ;0.028               ;4364.020            ;4253.050            
17/01/2022   ;905003    ;BANQUES           ;3995.550            ;3994.990            ;0.014               ;3995.550            ;3882.350            
17/01/2022   ;905004    ;ASSURANCES        ;12333.620           ;12320.000           ;0.111               ;12468.030           ;12177.950           
17/01/2022   ;905005    ;SERVICES FINANCIER;5820.870            ;5813.010            ;0.135               ;5860.500            ;5762.320            
17/01/2022   ;905008    ;SERVICES AUX CONSO;2843.000            ;2832.570            ;0.368               ;2843.000            ;2737.320            
17/01/2022   ;905009    ;DISTRIBUTION      ;4479.140            ;4462.700            ;0.368               ;4479.140            ;4312.630            
17/01/2022   ;905013    ;BIENS CONSOMMATION;8901.470            ;8945.210            ;-0.489              ;8945.210            ;8703.700            
